Feature value 1, Feature value 2, Jaccard coefficient for reference set, Jaccard coefficient for MMP-targeting set
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-46*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-12*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-30*10,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-74*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-23*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-15*07,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-13*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV14-4*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-72*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV7-3*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-33*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-9*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-31*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-12*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-85*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-55*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69*14,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5S9*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-19*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-82*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-64*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV14-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV6-3*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S14*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-6-2*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV14-3*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV9-1*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-2*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-73*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-6-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-50*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1S53*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-5*09,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV10S3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-9-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-63*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-47*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-38-2*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-39*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-81*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-2*02,0.058823529411764705,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV9-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69*10,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-74*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-3*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-15*04,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV10-1*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV8-5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-15*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-9*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-4*07,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-33*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-18*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-11*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2S5*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-23*03,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV2-6-7*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV7-3*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-38-2*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-20*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV3-1*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-66*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-59*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-39*07,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV4-30-4*07,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-61*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV7-4-1*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV6-7*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV5-51*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-34*02,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-26*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69D*01,0.0,0.0
Germ_LV_IGKV3-7*01,Germ_HV_IGHV1-69-2*01,0.0,0.0
